name,radiative_efficiency_W_m-2_ppb-1,reference_concentration,reference_concentration_unit,molecular_weight_g_mol-1
CO2,0.000013665,277.147,ppm,44.01
CH4,0.000448,731.4060052,ppb,16.04
N2O,0.003,273.8650493,ppb,44.013
HFC-134a,0.16118136,0,ppt,102.03
HFC-23,0.17528336,0,ppt,70.01
HFC-32,0.11009006,0,ppt,52.02
HFC-125,0.22580731,0,ppt,120.02
HFC-143a,0.15832114,0,ppt,84.04
HFC-152a,0.09848552,0,ppt,50.49
HFC-227ea,0.25764028,0,ppt,170.03
HFC-236fa,0.24309707,0,ppt,152.039
HFC-245fa,0.24293128,0,ppt,134.05
HFC-365mfc,0.22261699,0,ppt,148.074
HFC-43-10mee,0.42000000,0,ppt,252.055
NF3,0.20467908,0,ppt,71
SF6,0.56696384,0,ppt,146.06
SO2F2,0.20119879,0,ppt,102.06
CF4,0.09489330,34.05,ppt,88.0043
C2F6,0.25083329,0,ppt,138.01
C3F8,0.27730479,0,ppt,188.02
C4F10,0.36298028,0,ppt,238.028
C5F12,0.40512062,0,ppt,288.036
C6F14,0.44186442,0,ppt,338.041845
C7F16,0.50171525,0,ppt,388.051
C8F18,0.55174034,0,ppt,438.06
c-C4F8,0.31526465,0,ppt,200.03
CFC-12,0.31839194,0,ppt,120.91
CFC-11,0.25950991,0,ppt,137.37
CFC-113,0.30174320,0,ppt,187.376
CFC-114,0.30705526,0,ppt,170.92
CFC-115,0.20208035,0,ppt,154.466
HCFC-22,0.20849788,0,ppt,86.47
HCFC-141b,0.16161452,0,ppt,116.94
HCFC-142b,0.18883386,0,ppt,100.49
CH3CCl3,0.06943936,0,ppt,133.4
CCl4,0.16985695,0.025000429,ppt,153.81
CH3Cl,0.01000000,457,ppt,50.49
CH2Cl2,0.03120000,6.91276128,ppt,84.93
CHCl3,0.07796969,6,ppt,119.37
CH3Br,0.00454254,5.299997818,ppt,94.94
Halon-1211,0.29399914,0.004446573,ppt,165.36
Halon-1301,0.29838467,0,ppt,148.91
Halon-2402,0.31297862,0,ppt,259.823
CFC-12-eq,0.31839194,16.51288253,ppt,120.91
HFC-134a-eq,0.16118136,19.153125,ppt,102.03
CFC-11-eq,0.25950991,32.11008619,ppt,137.37
